;account_id;name;real_name;sticker;autograph;chatwheels;bundles;language
87;123044675;Lucky;Kevin Nahyr Muñoz Carbajal;35121;2277;401831;35122,35378,35123,35124;spanish
88;112823881;DonCookie;Oscar Idiáquez  Martínez;35403;2319;401754;35629,35630,35631,35632;spanish
88;112823881;DonCookie;Oscar Idiáquez  Martínez;35403;2319;401755;35629,35630,35631,35632;spanish
89;104196230;Mr.Choco;Rikardo Mendoza Mattos;35408;2321;401758;35637,35638,35639,35640;spanish
89;104196230;Mr.Choco;Rikardo Mendoza Mattos;35408;2321;401759;35637,35638,35639,35640;spanish
90;86804163;FalcoStyle;Huester Esley Alejandro Valenzuela Davila;35417;2322;401760;35641,35642,35643,35644;spanish
90;86804163;FalcoStyle;Huester Esley Alejandro Valenzuela Davila;35417;2322;401761;35641,35642,35643,35644;spanish
91;156331087;D1smar;Jose Dismar Cahuajulca Levano;35428;2325;401832;35653,35654,35655,35656;spanish
91;156331087;D1smar;Jose Dismar Cahuajulca Levano;35428;2325;401833;35653,35654,35655,35656;spanish
92;117089283;Panda約束;Jose Padilla;35429;2326;401768;35657,35658,35659,35660;spanish
92;117089283;Panda約束;Jose Padilla;35429;2326;401769;35657,35658,35659,35660;spanish
93;116326606;Giulio;Julio Nuñez Murillo;35430;2327;401770;35661,35662,35663,35664;spanish
93;116326606;Giulio;Julio Nuñez Murillo;35430;2327;401771;35661,35662,35663,35664;spanish
94;49310752;AxL;Axel Ramos;35433;2330;401776;35673,35674,35675,35676;spanish
94;49310752;AxL;Axel Ramos;35433;2330;401777;35673,35674,35675,35676;spanish
95;128947109;Tio Inka;Paul Richard de la Cruz Gomez;35176;2331;401778;35677,35678,35679,35680;spanish
95;128947109;Tio Inka;Paul Richard de la Cruz Gomez;35176;2331;401779;35677,35678,35679,35680;spanish
96;40936819;Blue;Marco Espinoza Oliveros;35460;2333;401780;35685,35686,35687,35688;spanish
96;40936819;Blue;Marco Espinoza Oliveros;35460;2333;401781;35685,35686,35687,35688;spanish
97;49036093;Avo+;Alvaro Sanchez Velasco;35466;2334;401782;35689,35690,35691,35692;spanish
97;49036093;Avo+;Alvaro Sanchez Velasco;35466;2334;401783;35689,35690,35691,35692;spanish
98;74378317;Flapjack`;Julian Esnaider Carbajal Ylave;35473;2336;401788;35697,35698,35699,35700;spanish
98;74378317;Flapjack`;Julian Esnaider Carbajal Ylave;35473;2336;401789;35697,35698,35699,35700;spanish
99;97629760;Patrick;Andrés Condori Castillo;35496;2338;401796;35705,35706,35707,35708;spanish
99;97629760;Patrick;Andrés Condori Castillo;35496;2338;401797;35705,35706,35707,35708;spanish
100;99431452;Caosfenix;William Morera;35497;2339;401837;35709,35710,35711,35712;spanish
100;99431452;Caosfenix;William Morera;35497;2339;401838;35709,35710,35711,35712;spanish
101;102556298;Dkgamer;David Nina Sulca;35498;2340;401798;35713,35714,35715,35716;spanish
101;102556298;Dkgamer;David Nina Sulca;35498;2340;401799;35713,35714,35715,35716;spanish
102;112151448;Cutipo;Frank Williams Galan Cutipa;35505;2342;401802;35721,35722,35723,35724;spanish
102;112151448;Cutipo;Frank Williams Galan Cutipa;35505;2342;401803;35721,35722,35723,35724;spanish
103;121604932;Maverick;Aarón Isai Galvez Tapayuri;35506;2343;401804;35725,35726,35727,35728;spanish
103;121604932;Maverick;Aarón Isai Galvez Tapayuri;35506;2343;401805;35725,35726,35727,35728;spanish
104;163662059;DoRaYaKi;Jhonatan Esteban López Quinga;35510;2346;401810;35737,35738,35739,35740;spanish
104;163662059;DoRaYaKi;Jhonatan Esteban López Quinga;35510;2346;401811;35737,35738,35739,35740;spanish
105;187871574;Study;Cristopher Carlos Fuentes ;35759;2356;401835;35923,35924,35925,35926;spanish
105;187871574;Study;Cristopher Carlos Fuentes ;35759;2356;401836;35923,35924,35925,35926;spanish
